"condition","clicks"
"control",6
"treatment",10
"control",9
"treatment",10
"control",5
"control",11
"treatment",11
"control",3
"control",11
"control",7
"control",7
"control",5
"treatment",11
"control",10
"control",5
"control",8
"treatment",9
"control",7
"control",10
"treatment",9
"treatment",12
"control",8
"control",10
"treatment",10
"control",8
"treatment",9
"treatment",10
"treatment",10
"treatment",10
"treatment",10
"control",12
"control",11
"control",7
"treatment",9
"control",7
"control",4
"control",8
"treatment",11
"treatment",9
"control",8
"control",7
"control",9
"treatment",11
"treatment",9
"treatment",11
"control",12
"treatment",9
"control",6
"treatment",8
"control",8
"control",10
"treatment",9
"control",7
"treatment",9
"control",6
"control",9
"control",6
"control",6
"treatment",10
"treatment",9
"treatment",7
"control",11
"control",6
"treatment",10
"treatment",11
"treatment",9
"control",7
"control",9
"control",8
"control",8
"control",6
"treatment",9
"control",9
"control",10
"treatment",9
"treatment",7
"control",7
"control",1
"treatment",11
"control",10
"treatment",10
"control",9
"treatment",11
"control",11
"treatment",10
"treatment",11
"control",5
"treatment",9
"treatment",11
"control",9
"treatment",11
"treatment",11
"control",5
"treatment",11
"treatment",10
"control",8
"treatment",11
"control",11
"treatment",10
"control",10
"control",7
"control",9
"treatment",10
"control",9
"treatment",10
"treatment",11
"control",8
"treatment",9
"control",10
"control",11
"treatment",12
"treatment",10
"control",6
"control",8
"treatment",9
"treatment",10
"treatment",10
"treatment",10
"treatment",9
"control",3
"control",6
"treatment",10
"control",11
"control",7
"treatment",10
"treatment",9
"control",9
"control",10
"control",7
"control",7
"control",8
"control",10
"control",8
"treatment",11
"control",5
"control",2
"control",6
"control",7
"treatment",8
"treatment",10
"control",5
"control",7
"treatment",11
"control",6
"control",9
"treatment",11
"treatment",10
"control",12
"treatment",10
"control",3
"treatment",11
"control",7
"treatment",9
"control",2
"control",10
"control",7
"treatment",10
"control",6
"treatment",11
"treatment",11
"treatment",9
"treatment",9
"treatment",11
"treatment",10
"control",5
"control",7
"control",7
"control",5
"treatment",9
"control",7
"treatment",10
"treatment",9
"treatment",10
"control",8
"control",6
"control",6
"treatment",10
"treatment",10
"treatment",9
"control",6
"treatment",9
"control",9
"control",11
"control",8
"control",3
"control",8
"treatment",10
"control",5
"control",6
"control",7
"control",12
"control",7
"treatment",11
"control",10
"control",8
"control",6
"treatment",11
"treatment",10
"control",16
"control",5
"treatment",9
"treatment",10
"treatment",10
"treatment",11
"treatment",10
"control",3
"control",6
"control",12
"control",8
"control",7
"control",9
"control",7
"control",9
"treatment",10
"treatment",9
"control",8
"control",7
"treatment",11
"treatment",9
"control",8
"control",6
"control",8
"control",7
"control",1
"control",10
"treatment",12
"control",9
"control",7
"control",7
"control",6
"treatment",9
"treatment",9
"treatment",11
"control",9
"control",10
"control",10
"control",5
"treatment",10
"control",6
"treatment",9
"treatment",10
"treatment",10
"control",6
"control",5
"control",9
"treatment",9
"control",11
"control",11
"control",9
"treatment",10
"control",8
"treatment",10
"treatment",7
"treatment",12
"control",8
"control",6
"treatment",12
"treatment",9
"control",11
"control",8
"treatment",11
"treatment",8
"treatment",11
"control",9
"control",9
"treatment",8
"control",6
"control",9
"treatment",10
"treatment",10
"treatment",11
"treatment",11
"treatment",9
"treatment",10
"control",9
"control",8
"control",2
"treatment",10
"treatment",9
"treatment",9
"control",5
"control",3
"control",7
"control",8
"treatment",9
"treatment",9
"control",5
"treatment",10
"treatment",9
"treatment",10
"treatment",10
"treatment",10
"treatment",9
"control",9
"control",7
"control",3
"control",8
"control",11
"control",9
"control",4
"treatment",10
"control",7
"treatment",10
"treatment",10
"treatment",9
"control",5
"control",7
"control",3
"control",10
"control",11
"control",12
"treatment",11
"control",5
"treatment",10
"treatment",13
"treatment",9
"treatment",10
"treatment",10
"control",4
"treatment",10
"control",3
"treatment",10
"treatment",11
"treatment",10
"control",6
"treatment",13
"control",6
"treatment",11
"treatment",10
"treatment",11
"control",5
"treatment",10
"treatment",10
"control",11
"control",4
"treatment",12
"control",10
"control",7
"control",5
"treatment",9
"control",7
"control",7
"control",13
"control",10
"control",7
"treatment",9
"control",8
"control",7
"treatment",8
"control",10
"treatment",8
"control",7
"control",8
"control",7
"control",8
"treatment",10
"control",7
"control",7
"treatment",10
"treatment",11
"treatment",10
"control",6
"treatment",10
"treatment",10
"control",6
"control",7
"treatment",10
"treatment",11
"control",5
"control",6
"treatment",9
"control",9
"control",11
"control",9
"control",9
"treatment",9
"control",11
"treatment",13
"treatment",12
"control",11
"control",9
"control",9
"control",3
"treatment",9
"control",7
"treatment",9
"treatment",11
"control",9
"treatment",12
"treatment",9
"control",9
"treatment",10
"treatment",9
"control",5
"control",4
"treatment",10
"treatment",10
"treatment",8
"control",8
"control",6
"control",7
"treatment",10
"treatment",10
"treatment",9
"treatment",11
"treatment",10
"treatment",11
"control",6
"treatment",11
"control",8
"control",12
"control",8
"treatment",9
"control",9
"treatment",9
"treatment",11
"treatment",10
"treatment",10
"treatment",9
"treatment",10
"control",5
"control",8
"control",7
"control",7
"control",12
"control",8
"control",10
"treatment",10
"control",5
"treatment",11
"treatment",10
"treatment",10
"treatment",10
"control",8
"control",5
"treatment",10
"treatment",10
"control",10
"treatment",11
"treatment",11
"control",8
"treatment",11
"control",5
"control",9
"treatment",9
"treatment",11
"treatment",10
"treatment",9
"control",3
"control",7
"treatment",9
"control",4
"treatment",11
"treatment",12
"control",6
"control",3
"control",6
"treatment",9
"treatment",10
"control",7
"treatment",9
"control",5
"control",9
"control",8
"control",5
"treatment",12
"control",11
"control",12
"treatment",8
"control",6
"treatment",10
"treatment",10
"control",7
"control",6
"control",5
"control",4
"control",2
"treatment",12
"treatment",13
"control",5
"treatment",11
"control",10
"control",7
"control",11
"control",8
"treatment",9
"treatment",10
"treatment",10
"control",6
"control",11
"control",6
"control",6
"treatment",8
"control",8
"control",9
"treatment",11
"control",9
"treatment",9
"control",9
"control",12
"treatment",11
"treatment",10
"control",11
"treatment",9
"treatment",9
"treatment",11
"treatment",9
"treatment",11
"treatment",10
"treatment",9
"treatment",13
"control",7
"control",4
"treatment",8
"control",8
"treatment",8
"control",8
"treatment",10
"control",6
"control",9
"treatment",10
"treatment",11
"control",12
"treatment",9
"control",10
"treatment",11
"treatment",12
"control",9
"treatment",10
"control",8
"treatment",10
"control",5
"treatment",9
"control",7
"control",7
"treatment",10
"treatment",9
"control",6
"control",9
"control",9
"treatment",9
"treatment",9
"treatment",10
"control",9
"control",9
"treatment",12
"control",6
"treatment",9
"control",12
"control",9
"treatment",9
"treatment",10
"control",10
"control",9
"treatment",11
"control",6
"treatment",11
"treatment",8
"treatment",10
"treatment",10
"control",10
"treatment",10
"control",8
"control",6
"treatment",11
"treatment",9
"control",6
"control",9
"control",6
"treatment",10
"control",4
"control",10
"control",9
"control",8
"treatment",10
"control",9
"treatment",12
